97,The Great Waldo Pepper,1975,3.5,6467
95,The Golden Child,1986,3.5,5609
83,Lionheart,1990,3.5,6301
77,Marvin's Room,1996,3.5,5901
70,Another 48 Hrs.,1990,3.5,5723
65,The Addams Family,1991,3.5,5976
50,The Eiger Sanction,1975,3.5,7726
48,Emma,1996,3.5,7260
40,Internal Affairs,1990,3.5,6885
27,Brassed Off,1996,3.5,6040
18,Beautiful Girls,1996,3.5,6755
9,Nosferatu: Original Version,1929,3.5,5651
7,Muriel's Wedding,1994,3.5,6323
67,The Andromeda Strain,1971,3.6,7861
63,48 Hrs.,1982,3.6,5794
55,The Doors,1991,3.6,8436
12,Big Night,1996,3.6,6561
44,Do the Right Thing,1989,3.6,7186
41,Jesus Christ Superstar,1973,3.6,6388
14,The Boys from Brazil,1978,3.6,7417
35,King of Beggars,1992,3.6,6025
19,Bustin' Loose,1981,3.7,5598
32,The Lady Vanishes,1938,3.7,5762
30,Incident at Oglala: The Leonard Peltier Story,1992,3.7,5487
69,101 Dalmatians,1996,3.7,6172
92,The Great Outdoors,1988,3.7,5424
53,Double Jeopardy,1999,3.7,6311
81,Like Water for Chocolate,1992,3.8,6320
90,Heart and Souls,1993,3.8,6196
71,All About Eve,1950,3.8,8300
42,In the Name of the Father,1993,3.9,7972
38,In Too Deep,1999,3.9,5823
58,Desperado,1995,3.9,6269
85,The Hunt for Red October,1990,4.0,8106
16,The Breakfast Club,1985,4.0,5823
75,Apocalypse Now,1979,4.0,8825
36,Into the Woods,1990,4.0,9077
