91,House of Whipcord,1974,2.5,6144
43,Easy Money,1987,2.8,5794
4,The Object of Beauty,1991,2.8,6150
59,Darkman II: The Return of Durant,1994,2.8,5557
15,Big Doll House,1971,2.9,5696
13,The Birth of a Nation,1915,2.9,12118
73,Barbarella,1968,3.0,5882
49,Disco Godfather,1979,3.0,5869
93,Heaven's Gate,1980,3.0,13143
82,The Mikado,1939,3.1,5448
28,Last Tango in Paris,1972,3.1,7732
79,The Mark of Zorro,1920,3.1,6433
87,I Spit on Your Grave,1978,3.1,6084
99,Highlander 2: Renegade Version,1991,3.1,6585
68,Albino Alligator,1996,3.1,5644
3,Orphans of the Storm,1921,3.2,9062
89,Highlander 3: The Final Dimension,1994,3.2,5943
84,Minnie and Moskowitz,1971,3.2,6928
76,Leviathan,1989,3.2,5877
66,Bad Lieutenant,1992,3.2,5774
39,King Kong,1976,3.2,8044
52,Double Dragon,1994,3.3,5781
47,Escape from L.A.,1996,3.3,6039
78,Love and a .45,1994,3.3,6125
23,Swimming with Sharks,1994,3.3,5586
61,The Englishman Who Went Up a Hill but Came Down a Mountain,1995,3.4,5752
46,Drop Zone,1994,3.4,6087
45,Days of Heaven,1978,3.4,5628
34,Killing Zoe,1993,3.4,5773
31,Kalifornia,1993,3.4,7095
80,Little Buddha,1993,3.4,8455
26,The Best of Times,1986,3.4,6247
25,Brighton Beach Memoirs,1986,3.4,6564
22,Broadcast News,1987,3.4,7940
21,Born on the Fourth of July,1989,3.4,8646
20,The Beguiled,1971,3.4,6307
86,The Hindenburg,1975,3.4,7546
88,Hellbound: Hellraiser II,1988,3.4,5606
8,Mother's Boys,1994,3.4,5733
96,The Hunted,1995,3.4,6605
54,Death Becomes Her,1992,3.4,6207
